Supplementary Materials: Binding data for rapamycin regulatory network																
ORF	Gene name	Description	Binding p-values													
			DAL80 Rapamycin	DAL81 Rapamycin	DAL82 Rapamycin	FHL1 Rapamycin	GCN4 Rapamycin	UGA3 Rapamycin	RTG1 Rapamycin	RTG3 Rapamycin	MSN2 Rapamycin	MSN4 Rapamycin	GAT1 Rapamycin	HAP2 Rapamycin	GLN3 Rapamycin	GZF3 Rapamycin
YLR117C	CLF1	strong similarity to Drosophila putative cell cycle control protein crn	0.508	0.583	0.364	0.676	0.824	0.855	0.483	0.864	0.772	0.698	0.644	0.763	0.52	0.642
YLR118C	YLR118C	similarity to several esterases	0.627	0.668	0.305	0.535	0.606	0.496	0.344	0.737	0.475	0.413	0.47	0.432	0.3	0.137
YLR119W	SRN2	suppressor of RNA1-1 mutation	0.627	0.668	0.305	0.535	0.606	0.496	0.344	0.737	0.475	0.413	0.47	0.432	0.3	0.137
YLR120C	YPS1	aspergillopepsin	0.384	0.63	0.401	0.452	0.196	0.463	0.616	0.703	0.438	0.636	0.466	0.61	0.304	0.548
YLR121C	YPS3	GPI-anchored aspartyl protease 3 (yapsin 3)	0.896	0.843	NaN	0.886	0.862	0.979	0.921	0.943	0.923	0.923	0.93	0.961	0.92	0.97
YLR122C	YLR122C	hypothetical protein	0.75	0.936	NaN	0.866	0.785	0.944	0.829	0.932	0.868	0.866	0.883	0.947	0.93	0.792
YLR123C	YLR123C	questionable ORF	0.75	0.936	NaN	0.866	0.785	0.944	0.829	0.932	0.868	0.866	0.883	0.947	0.93	0.792
YLR124W	YLR124W	hypothetical protein	0.75	0.936	NaN	0.866	0.785	0.944	0.829	0.932	0.868	0.866	0.883	0.947	0.93	0.792
YLR125W	YLR125W	hypothetical protein	0.414	0.601	0.318	0.372	0.485	0.352	0.379	0.489	0.661	0.523	0.568	0.704	0.471	0.453
YLR126C	YLR126C	weak similarity to P.aeruginosa anthranilate synthase component II	0.936	0.884	0.762	0.674	0.428	0.836	0.833	0.849	0.883	0.815	0.786	0.886	0.684	0.777
YLR127C	APC2	component of the anaphase promoting complex	0.004	0.163	0.002	0.351	0.415	0.187	0.035	0.025	0.038	0.024	0.206	0.252	0.153	0.128
YLR128W	YLR128W	similarity to S.pombe hypothetical protein SPBC24E9	0.004	0.163	0.002	0.351	0.415	0.187	0.035	0.025	0.038	0.024	0.206	0.252	0.153	0.128
YLR129W	DIP2	DOM34P-interacting protein	0.443	0.072	0.472	0.636	0.734	0.606	0.329	0.465	0.536	0.453	0.579	0.151	0.379	0.479
YLR130C	ZRT2	low affininty zinc transporter	0.757	0.59	0.551	0.387	0.056	0.69	0.627	0.201	0.724	0.775	0.433	0.666	0.579	0.734
YLR131C	ACE2	metallothionein expression activator	0.283	0.183	0.241	0.583	0.745	0.306	0.532	0.407	0.176	0.27	0.304	0.408	0.427	NaN
YLR132C	YLR132C	hypothetical protein	0.544	0.793	0.768	0.873	0.833	0.635	0.609	0.87	0.611	0.497	0.801	0.593	0.568	0.575
YLR133W	CKI1	choline kinase	0.544	0.793	0.768	0.873	0.833	0.635	0.609	0.87	0.611	0.497	0.801	0.593	0.568	0.575
YLR134W	PDC5	"pyruvate decarboxylase, isozyme 2"	0.438	0.79	NaN	0.307	0.545	0.163	0.294	0.476	0.386	0.49	0.376	0.31	0.379	0.32
YLR135W	SLX4	"subunit of SLX1P/Ybr228p-SLX4P complex, required for cell growth in the absence of SGS1 or TOP3"	0.138	0.174	NaN	0.064	0.147	0.047	0.128	0.164	0.099	0.054	0.063	0.407	0.038	0.03
YLR136C	TIS11	tRNA-specific adenosine deaminase 3	0.597	0.592	0.211	0.585	0.876	0.666	0.708	0.778	0.478	0.757	0.425	0.539	0.342	NaN
YLR137W	YLR137W	weak similarity to hypothetical S.pombe protein SPCC4G3	0.597	0.592	0.211	0.585	0.876	0.666	0.708	0.778	0.478	0.757	0.425	0.539	0.342	NaN
YLR138W	NHA1	putative Na+/H+ antiporter	0.75	0.001	0.321	0.609	0.387	0.694	0.427	0.097	0.379	0.651	0.245	0.407	0.011	0.643
YLR139C	SLS1	suppresses lethality of SSM4 deletion	0.632	0.001	0.022	0.346	0.259	0.183	0.867	0.367	0.67	0.722	0.007	0.332	0.007	0.816
YLR140W	YLR140W	questionable ORF	0.932	0.752	0.715	0.464	0.606	0.238	0.694	0.63	0.609	0.64	0.652	0.454	0.251	0.297
YLR141W	RRN5	RNA polymerase I specific transcription initiation factor	0.932	0.752	0.715	0.464	0.606	0.238	0.694	0.63	0.609	0.64	0.652	0.454	0.251	0.297
YLR142W	PUT1	proline oxidase	0.632	0.001	0.022	0.346	0.259	0.183	0.867	0.367	0.67	0.722	0.007	0.332	0.007	0.816
YLR143W	YLR143W	weak similarity to Pyrococcus horikoshii hypothetical protein PHBJ017	0.64	0.14	0.483	0.934	0.932	0.551	0.787	0.605	0.407	0.474	0.322	0.291	0.442	0.88
YLR144C	ACF2	necessary for cortical actin assembly	0.487	0.511	0.573	0.803	0.634	0.289	0.246	0.738	0.37	0.492	0.619	0.491	0.816	0.348
YLR145W	YLR145W	hypothetical protein	0.487	0.511	0.573	0.803	0.634	0.289	0.246	0.738	0.37	0.492	0.619	0.491	0.816	0.348
YLR146C	SPE4	spermine synthase	0.335	0.933	0.873	0.742	0.689	0.362	0.423	0.692	0.574	0.653	0.774	0.533	0.614	0.522
YLR147C	SMD3	spliceosomal snRNA-associated Sm core protein required for pre-mRNA splicing	0.53	0.643	NaN	0.848	0.677	0.347	0.285	0.651	0.249	0.485	0.589	0.393	0.603	0.523
YLR148W	PEP3	vacuolar membrane protein	0.53	0.643	NaN	0.848	0.677	0.347	0.285	0.651	0.249	0.485	0.589	0.393	0.603	0.523
YLR149C	YLR149C	weak similarity to hypothetical protein SPCC4G3.03 S. pombe	0.511	0.34	0.725	0.044	0.75	0.615	0.679	0.529	0.477	0.77	0.534	0.762	0.744	0.878
YLR150W	STM1	specific affinity for guanine-rich quadruplex nucleic acids	0.511	0.34	0.725	0.044	0.75	0.615	0.679	0.529	0.477	0.77	0.534	0.762	0.744	0.878
YLR151C	PCD1	"peroxisomal nudix hydrolase, has diphosphatase activity specific for coenzyme A and CoA derivatives"	0.452	0.299	0.413	0.285	0.578	0.123	0.237	0.221	0.201	0.216	0.293	0.331	0.413	0.376
YLR152C	YLR152C	similarity to YOR3165w and YNL095c	0.553	0.043	0.469	0.473	0	0.333	0.811	0.076	0.641	0.691	0.084	0.45	0.063	0.575
YLR153C	ACS2	acetyl-coenzyme A synthetase	0.947	0.337	0.799	0.899	0.068	0.69	0.894	0.124	0.699	0.849	0.452	0.766	0.408	0.912
YLR154C	YLR154C	hypothetical protein	0.782	0.173	0.468	0.625	0.063	0.409	0.86	0.303	0.651	0.682	0.294	0.778	0.339	0.709
YLR155C	ASP3A	L-asparaginase II	0.575	0.039	0.679	0.543	0.137	0.869	0.914	0.415	0.935	0.853	0.199	0.857	0.113	0.935
YLR156W	YLR156W	identical to hypothetical proteins YLR161w and YLR159w	0.575	0.039	0.679	0.543	0.137	0.869	0.914	0.415	0.935	0.853	0.199	0.857	0.113	0.935
YLR157C	ASP3B	L-asparaginase II	0.589	0.048	0.754	0.522	0.217	0.818	0.895	0.337	0.899	0.687	0.098	0.739	0.132	0.915
YLR157C-A	#REF!		0.827	0.022	0.59	0.493	0.134	0.858	0.885	0.145	0.881	0.74	0.15	0.85	0.132	0.9
YLR157C-B	#REF!		0.827	0.022	0.59	0.493	0.134	0.858	0.885	0.145	0.881	0.74	0.15	0.85	0.132	0.9
YLR158C	ASP3C	L-asparaginase II	0.827	0.022	0.59	0.493	0.134	0.858	0.885	0.145	0.881	0.74	0.15	0.85	0.132	0.9
YLR159W	YLR159W	identical to hypothetical proteins YLR161w and YLR156w	0.472	0.068	0.349	0.204	0.926	0.849	0.904	0.697	0.887	0.774	0.261	0.353	0.431	0.548
YLR160C	ASP3D	L-asparaginase II	0.924	0.018	0.693	0.592	0.108	0.914	0.904	0.154	0.923	0.831	0.196	0.858	0.108	0.939
YLR161W	YLR161W	identical to hypothetical proteins YLR156w and YLR159w	0.402	0.357	0.463	0.816	0.945	0.907	0.909	0.818	0.894	0.8	0.424	0.492	0.685	0.827
YLR162W	YLR162W	hypothetical protein	0.402	0.357	0.463	0.816	0.945	0.907	0.909	0.818	0.894	0.8	0.424	0.492	0.685	0.827
YLR163C	MAS1	mitochondrial processing peptidase	0.751	0.108	0.776	0.149	0.215	0.941	0.735	0.479	0.776	0.547	0.644	0.87	0.506	0.905
YLR164W	YLR164W	strong similarity to SDH4P	0.751	0.108	0.776	0.149	0.215	0.941	0.735	0.479	0.776	0.547	0.644	0.87	0.506	0.905
YLR165C	PUS5	weak similarity to H.influenzae hypothetical protein HI0176	0.347	0.197	0.432	0.428	0.66	0.559	0.395	0.531	0.476	0.438	0.212	0.435	0.245	0.084
YLR166C	SEC10	required for exocytosis	0.672	0.392	0.359	0	0.519	0.505	0.637	0.684	0.482	0.654	0.423	0.586	0.415	0.423
YLR167W	RPS31	ubiquitin/40S small subunit ribosomal protein	0.672	0.392	0.359	0	0.519	0.505	0.637	0.684	0.482	0.654	0.423	0.586	0.415	0.423
YLR168C	(MSF1)	probably involved in intramitochondrial protein sorting	0.559	0.786	NaN	0.505	0.102	0.749	0.453	0.518	0.465	0.848	0.551	0.005	0.513	0.468
YLR169W	YLR169W	questionable ORF	0.559	0.786	NaN	0.505	0.102	0.749	0.453	0.518	0.465	0.848	0.551	0.005	0.513	0.468
YLR170C	APS1	"AP-1 complex subunit, sigma1 subunit, 18 KD"	0.549	0.77	0.884	0.937	0.922	0.965	0.869	0.911	0.942	0.966	0.958	0.94	0.94	0.769
YLR171W	YLR171W	questionable ORF	0.559	0.786	NaN	0.505	0.102	0.749	0.453	0.518	0.465	0.848	0.551	0.005	0.513	0.468
YLR172C	DPH5	diphthamide methyltransferase	0.029	0.152	0.044	0.531	0.811	0.359	0.093	0.482	0.083	0.227	0.743	0.581	0.715	0.467
YLR173W	YLR173W	hypothetical protein	0.029	0.152	0.044	0.531	0.811	0.359	0.093	0.482	0.083	0.227	0.743	0.581	0.715	0.467
YLR174W	IDP2	"isocitrate dehydrogenase, cytosolic"	0.709	0.677	0.85	0.645	0.549	0.938	0.856	0.759	0.888	0.919	0.72	0.78	0.847	0.958
YLR175W	CBF5	putative rRNA pseuduridine synthase	0.847	0.938	0.857	0.273	0.292	0.147	0.306	0.544	0.662	0.554	0.772	0.664	0.782	0.493
YLR176C	RFX1	repressor of DNA damage-inducible genes	0.246	0.734	0.548	NaN	0.863	0.765	0.474	0.878	0.629	0.769	0.869	0.846	0.873	0.771
YLR177W	YLR177W	similarity to suppressor protein Psp5p	0.246	0.734	0.548	NaN	0.863	0.765	0.474	0.878	0.629	0.769	0.869	0.846	0.873	0.771
YLR178C	TFS1	CDC25-dependent nutrient- and ammonia-response cell-cycle regulator	0.547	NaN	0.581	0.946	0.693	0.799	0.804	0.836	0.666	0.721	0.745	0.798	0.708	0.757
YLR179C	YLR179C	similarity to TFS1P	0.923	0.676	0.913	0.456	0.647	0.904	0.883	0.901	0.887	0.92	0.906	0.934	0.903	0.932
YLR180W	SAM1	S-adenosylmethionine synthetase 1	0.923	0.676	0.913	0.456	0.647	0.904	0.883	0.901	0.887	0.92	0.906	0.934	0.903	0.932
YLR181C	YLR181C	hypothetical protein	0.611	0.764	0.893	0.77	0.729	0.434	0.437	0.727	0.611	0.74	0.74	0.767	0.811	0.724
YLR182W	SWI6	transcription factor	0.611	0.764	0.893	0.77	0.729	0.434	0.437	0.727	0.611	0.74	0.74	0.767	0.811	0.724
YLR183C	TOS4	similarity to YDR501w	0.64	0.552	0.783	0	0.888	0.785	0.74	0.848	0.666	0.786	0.809	0.824	0.92	0.727
YLR184W	YLR184W	weak similarity to ribulose-bisphosphate carboxylase	0.64	0.552	0.783	0	0.888	0.785	0.74	0.848	0.666	0.786	0.809	0.824	0.92	0.727
YLR185W	RPL37A	ribosomal protein L37.e	0.787	0.946	0.929	0	0.916	0.942	0.982	0.98	0.915	0.953	0.938	0.884	0.967	0.924
YLR186W	EMG1	strong similarity to S.pombe hypothetical protein C18G6.07C	0.843	0.917	0.949	0.543	0.925	0.86	0.371	0.272	0.869	0.87	0.946	0.906	0.975	0.902
YLR187W	YLR187W	similarity to hypothetical protein YNL278w	0.62	0.923	0.89	0.468	0.873	0.522	0.605	0.914	0.808	0.769	0.857	0.869	0.862	0.711
YLR188W	MDL1	ATP-binding cassette transporter family member	0.721	0.848	0.947	0.793	0.752	0.491	0.456	0.891	0.75	0.815	0.78	0.753	0.774	0.648
YLR189C	UGT51	sterol glucosyltransferase (UDP-glucose:sterol glucosyltransferase)	0.088	0.052	0.313	0.502	0.101	0.223	0.02	0.005	0.068	0.101	0.159	0.424	0.244	0.652
YLR190W	YLR190W	hypothetical protein	0.088	0.052	0.313	0.502	0.101	0.223	0.02	0.005	0.068	0.101	0.159	0.424	0.244	0.652
YLR191W	PEX13	peroxisomal protein involved in protein import - peroxin	0.334	0.637	0.657	0.364	0.393	0.184	0.234	0.199	0.39	0.369	0.584	0.488	0.467	0.383
YLR192C	HCR1	"component of translation initiation factor eIF3, has similarity to human eIF3 p35 subunit"	0.591	0.932	0.613	0.522	0.295	0.462	0.411	0.155	0.453	0.619	0.663	0.65	0.631	0.489
YLR193C	YLR193C	similarity to G.gallus px19 and MSF1P	0.865	0.271	0.694	0.549	0.034	0.312	0.801	0.695	0.85	0.822	0.344	0.226	0.315	0.792
YLR194C	YLR194C	hypothetical protein	0.85	0.481	0.819	0.69	0.496	0.392	0.68	0.834	0.845	0.772	0.542	0.404	0.563	0.813
YLR195C	NMT1	N-myristoyltransferase	0.265	0.171	0.183	0.392	0.329	0.3	0.003	0.019	0.032	0.006	0.339	0.219	0.464	0.529
YLR196W	PWP1	similarity to human IEF SSP 9502 protein	0.265	0.171	0.183	0.392	0.329	0.3	0.003	0.019	0.032	0.006	0.339	0.219	0.464	0.529
YLR197W	SIK1	involved in pre-rRNA processing	0.242	0.343	0.139	0.062	0.139	0.344	0.021	0.041	0.037	0.036	0.082	0.13	0.124	0.069
YLR198C	YLR198C	questionable ORF	0.644	0.687	0.904	0.876	0.844	0.255	0.757	0.881	0.829	0.837	0.741	0.462	0.923	0.93
YLR199C	YLR199C	hypothetical protein	0.134	0.285	0.192	0.672	0.44	0.103	0.073	0.12	0.098	0.157	0.272	0.298	0.374	0.24
YLR200W	YKE2	Gim complex component	0.134	0.285	0.192	0.672	0.44	0.103	0.073	0.12	0.098	0.157	0.272	0.298	0.374	0.24
YLR201C	YLR201C	similarity to hypothetical S. pombe protein	0.406	0.732	0.788	0.862	0.895	0.667	0.778	0.909	0.767	0.788	0.827	0.565	0.89	0.837
YLR202C	YLR202C	questionable ORF	0.406	0.732	0.788	0.862	0.895	0.667	0.778	0.909	0.767	0.788	0.827	0.565	0.89	0.837
YLR203C	MSS51	possibly involved in translational activation of COX1 and COB mRNA	0.406	0.732	0.788	0.862	0.895	0.667	0.778	0.909	0.767	0.788	0.827	0.565	0.89	0.837
YLR204W	QRI5	weak similarity to YOR309c	0.406	0.732	0.788	0.862	0.895	0.667	0.778	0.909	0.767	0.788	0.827	0.565	0.89	0.837
YLR205C	YLR205C	hypothetical protein	0.383	0.101	0.476	0.798	0.602	0.658	0.879	0.597	0.807	0.858	0.455	0.506	0.395	0.894
YLR206W	ENT2	"clathrin binding protein, required for endocytosis"	0.383	0.101	0.476	0.798	0.602	0.658	0.879	0.597	0.807	0.858	0.455	0.506	0.395	0.894
YLR207W	HRD3	involved in degradation of HMG2P	0.151	0.858	0.711	0.744	0.619	0.408	0.944	0.972	0.961	0.96	0.974	0.977	0.978	0.809
YLR208W	SEC13	protein transport protein	0.549	0.802	0.492	0.847	0.843	0.758	0.688	0.821	0.535	0.818	0.694	0.601	0.792	0.653
YLR209C	PNP1	strong similarity to purine-nucleoside phosphorylases	0.511	0.636	0.522	0.869	0.764	0.679	0.477	0.752	0.57	0.533	0.819	0.776	0.844	0.773
YLR210W	CLB4	"cyclin, G2/M-specific"	0.511	0.636	0.522	0.869	0.764	0.679	0.477	0.752	0.57	0.533	0.819	0.776	0.844	0.773
YLR211C	YLR211C	hypothetical protein	0.202	0.426	0.099	0.406	0.017	0.499	0.126	0.378	0.078	0.262	0.658	0.457	0.658	0.507
YLR212C	TUB4	gamma tubulin	0.933	0.8	NaN	0.673	0.015	0.857	0.765	0.683	0.923	0.714	0.523	0.772	0.72	0.815
YLR213C	CRR1	similarity to CRH1P cell wall protein	0.905	0.448	NaN	0.64	0.383	0.844	0.663	0.745	0.77	0.735	0.525	0.906	0.658	0.763
YLR214W	FRE1	ferric (and cupric) reductase	0.905	0.448	NaN	0.64	0.383	0.844	0.663	0.745	0.77	0.735	0.525	0.906	0.658	0.763
YLR215C	CDC123	strong similarity to rat cell cycle progression related D123 protein	0.734	0.92	0.636	0.628	0.786	0.74	0.479	0.367	0.61	0.484	0.687	0.434	0.814	0.244
YLR216C	CPR6	member of the cyclophilin family	0.481	0.433	0.707	0.823	0.837	0.882	0.696	0.724	0.772	0.446	0.91	0.646	0.809	0.774
YLR217W	YLR217W	questionable ORF	0.734	0.92	0.636	0.628	0.786	0.74	0.479	0.367	0.61	0.484	0.687	0.434	0.814	0.244
YLR218C	YLR218C	similarity to PIR:T41376 hypothetical protein S. pombe	0.449	0.462	0.553	0.631	0.357	0.687	0.307	0.634	0.435	0.556	0.624	0.439	0.495	0.541
YLR219W	MSC3	hypothetical protein	0.449	0.462	0.553	0.631	0.357	0.687	0.307	0.634	0.435	0.556	0.624	0.439	0.495	0.541
YLR220W	CCC1	involved in calcium regulation	0.937	0.775	0.885	0.565	0.303	0.844	0.797	0.283	0.917	0.771	0.769	0	0.329	0.801
YLR221C	YLR221C	hypothetical protein	0.073	0.086	0.013	0.434	0.598	0.397	0.006	0.034	0.011	0.008	0.558	0.49	0.693	0.508
YLR222C	CST29	similarity to DIP2P	0.18	0.552	0.367	0.35	0.53	0.511	0.192	0.301	0.161	0.169	0.467	0.298	0.383	0.149
YLR223C	IFH1	pre-rRNA processing machinery control protein	0.765	0.808	0.825	0.4	0.627	0.87	0.819	0.91	0.857	0.812	0.899	0.881	0.945	0.914
YLR224W	YLR224W	hypothetical protein	0.765	0.808	0.825	0.4	0.627	0.87	0.819	0.91	0.857	0.812	0.899	0.881	0.945	0.914
YLR225C	YLR225C	strong similarity to YDR222w	0.82	0.332	NaN	0.426	0.389	0.294	0.495	0.356	0.583	0.705	0.269	0.37	0.149	0.576
YLR226W	BUR2	divergent CDK-cyclin complex	0.82	0.332	NaN	0.426	0.389	0.294	0.495	0.356	0.583	0.705	0.269	0.37	0.149	0.576
YLR227C	ADY4	hypothetical protein	0.842	0.813	NaN	0.931	0.562	0.658	0.757	0.768	0.477	0.621	0.46	0.44	0.49	0.505
YLR227W-A	#REF!		0.632	0.598	0.658	0.803	0.717	0.838	0.563	0.305	0.219	0.409	0.343	0.42	0.426	0.328
YLR227W-B	#REF!		0.632	0.598	0.658	0.803	0.717	0.838	0.563	0.305	0.219	0.409	0.343	0.42	0.426	0.328
YLR228C	ECM22	"strong similarity to YDR213w, weak similarity to LYS14P"	0.661	0.645	0.724	0.506	0.124	0.695	0.673	0.62	0.747	0.771	0.757	0.819	0.661	0.8
YLR229C	CDC42	GTP-binding protein of RAS superfamily	0.887	0.765	0.694	0.878	0.92	0.777	0.714	0.503	0.72	0.785	0.511	0.746	0.852	0.906
YLR230W	YLR230W	questionable ORF	0.83	0.818	0.548	0.752	0.59	0.633	0.711	0.619	0.728	0.743	0.855	0.784	0.735	0.757
YLR231C	YLR231C	strong similarity to rat kynureninase	0.895	0.826	0.942	0.832	0.345	0.642	0.833	0.762	0.832	0.904	0.683	0.792	0.816	0.832
YLR232W	YLR232W	questionable ORF	0.875	0.198	0.332	0.507	0.82	0.201	0.663	0.445	0.345	0.295	0.25	0.174	0.244	0.798
YLR233C	EST1	telomere elongation protein	0.244	0.829	0.207	0.664	0.287	0.415	0.447	0.521	0.409	0.37	0.657	0.473	0.708	0.602
YLR234W	TOP3	DNA topoisomerase III	0.244	0.829	0.207	0.664	0.287	0.415	0.447	0.521	0.409	0.37	0.657	0.473	0.708	0.602
YLR235C	YLR235C	questionable ORF	0.479	0.474	NaN	0.37	0.56	0.337	0.541	0.691	0.46	0.681	0.528	0.486	0.489	0.686
YLR236C	YLR236C	hypothetical protein	0.479	0.474	NaN	0.37	0.56	0.337	0.541	0.691	0.46	0.681	0.528	0.486	0.489	0.686
YLR237W	THI7	thiamin transport protein	0.479	0.474	NaN	0.37	0.56	0.337	0.541	0.691	0.46	0.681	0.528	0.486	0.489	0.686
YLR238W	YLR238W	similarity to YDR200c	0.522	0.916	NaN	0.36	0.424	0.187	0.441	0.525	0.359	0.371	0.164	0.208	0.122	0.201
YLR239C	LIP2	lipoic acid ligase	0.373	0.823	0.495	0.787	0.273	0.289	0.527	0.637	0.286	0.442	0.667	0.471	0.692	0.377
YLR240W	VPS34	phosphatidylinositol 3-kinase	0.373	0.823	0.495	0.787	0.273	0.289	0.527	0.637	0.286	0.442	0.667	0.471	0.692	0.377
YLR241W	YLR241W	similarity to hypothetical S.pombe protein SPAC2G11.09	0.169	0.205	0.044	0.601	0.443	0.198	0.112	0.044	0.131	0.31	0.391	0.42	0.665	0.305
YLR242C	ARV1	involved in sterol uptake and distribution into the plasma membrane	0.313	0.572	0.527	0.57	0.223	0.242	0.147	0.43	0.431	0.494	0.388	0.399	0.697	0.38
YLR243W	YLR243W	strong similarity to YOR262w	0.313	0.572	0.527	0.57	0.223	0.242	0.147	0.43	0.431	0.494	0.388	0.399	0.697	0.38
YLR244C	MAP1	"methionine aminopeptidase, isoform 1"	0.905	0.743	0.842	0.863	0.822	0.564	0.742	0.776	0.886	0.91	0.722	0.798	0.915	0.61
YLR245C	CDD1	cytidine deaminase	0.476	0.502	0.408	0.911	0.926	0.715	0.719	0.876	0.76	0.88	0.439	0.594	0.677	0.829
YLR246W	ERF2	protein involved in palmitoylation and localization of RAS2P	0.476	0.502	0.408	0.911	0.926	0.715	0.719	0.876	0.76	0.88	0.439	0.594	0.677	0.829
YLR247C	YLR247C	similarity to S.pombe rad8 protein and RDH54P	0.469	0.491	NaN	0.616	0.688	0.438	0.619	0.781	0.403	0.614	0.433	0.53	0.726	0.807
YLR248W	RCK2	Ca/calmodulin-dependent ser/thr protein kinase	0.469	0.491	NaN	0.616	0.688	0.438	0.619	0.781	0.403	0.614	0.433	0.53	0.726	0.807
YLR249W	YEF3	translation elongation factor eEF3	0.935	0.823	NaN	0.414	0.232	0.664	0.759	0.719	0.933	0.92	0.454	0.869	0.743	0.826
YLR250W	SSP120	secretory protein	0.415	0.639	0.537	0.684	0.601	0.522	0.418	0.435	0.539	0.433	0.436	0.271	0.642	0.479
YLR251W	YLR251W	similarity to peroxisomal rat membrane protein PMP22	0.445	0.837	0.717	0.887	0.546	0.698	0.699	0.772	0.69	0.792	0.722	0.73	0.865	0.55
YLR252W	YLR252W	questionable ORF	0.445	0.837	0.717	0.887	0.546	0.698	0.699	0.772	0.69	0.792	0.722	0.73	0.865	0.55
YLR253W	YLR253W	weak similarity to bacterial aminoglycoside acetyltransferase regulators	0.458	0.778	0.475	0.749	0.622	0.555	0.486	0.289	0.472	0.48	0.75	0.437	0.819	0.652
YLR254C	YLR254C	weak similarity to PIR:T10472 G-box binding protein 2A Sinapis alba	0.828	0.559	0.525	0.818	0.734	0.872	0.874	0.899	0.795	0.897	0.832	0.825	0.781	0.938
YLR255C	YLR255C	hypothetical protein	0.472	0.054	0.48	0.626	0.214	0.809	0.926	0.908	0.631	0.767	0.613	0.856	0.537	0.945
YLR256W	HAP1	transcription factor	0.472	0.054	0.48	0.626	0.214	0.809	0.926	0.908	0.631	0.767	0.613	0.856	0.537	0.945
YLR256W-A	#REF!		0.472	0.054	0.48	0.626	0.214	0.809	0.926	0.908	0.631	0.767	0.613	0.856	0.537	0.945
YLR257W	YLR257W	hypothetical protein	0.832	0	0.118	0.163	0.346	0.38	0.574	0.222	0.256	0.28	0.048	0.235	0.001	0.566
YLR258W	GSY2	"UDP-glucose--starch glucosyltransferase, isoform 2"	0.952	0.533	0.88	0.617	0.503	0.846	0.93	0.659	0.852	0.708	0.481	0.619	0.531	0.901
YLR259C	HSP60	"heat shock protein - chaperone, mitochondrial"	0.791	0.473	0.782	0.566	0.521	0.759	0.697	0.775	0.821	0.683	0.825	0.932	NaN	0.804
YLR260W	LCB5	sphingolipid long chain base kinase	0.791	0.473	0.782	0.566	0.521	0.759	0.697	0.775	0.821	0.683	0.825	0.932	NaN	0.804
YLR261C	YLR261C	questionable ORF	0.002	0.018	0.001	0.144	0.343	0.22	0.001	0.002	0.066	0.016	0.056	0.197	0.264	0.15
YLR262C	YPT6	GTP-binding protein of the rab family	0.002	0.018	0.001	0.144	0.343	0.22	0.001	0.002	0.066	0.016	0.056	0.197	0.264	0.15
YLR262C-A	YLR262C-A	strong similarity to F49C12.11 (Z68227_K) from C. elegans	0.643	0.759	0.703	0.701	0.793	0.838	0.391	0.665	0.589	0.607	0.921	0.702	0.743	0.683
YLR263W	RED1	meiosis-specific protein	0.643	0.759	0.703	0.701	0.793	0.838	0.391	0.665	0.589	0.607	0.921	0.702	0.743	0.683
YLR264W	RPS28B	40S small subunit ribosomal protein S28.e.c12	0.033	0.066	0.034	0.023	0.836	0.924	0.254	0.235	0.137	0.143	0.781	0.896	NaN	0.82
YLR265C	NEJ1	hypothetical protein	0.787	0.824	0.889	0.74	0.752	0.938	0.451	0.498	0.597	0.681	0.919	0.932	0.872	0.466
YLR266C	YLR266C	weak similarity to transcription factors	0.796	0.015	0.581	0.485	0.001	0.894	0.392	0.055	0.8	0.875	0.715	0.832	0.763	0.799
YLR267W	BOP2	hypothetical protein	0.796	0.015	0.581	0.485	0.001	0.894	0.392	0.055	0.8	0.875	0.715	0.832	0.763	0.799
YLR268W	SEC22	synaptobrevin (V-SNARE)	0.766	0.744	0.857	0.587	0.588	0.377	0.473	0.738	0.737	0.658	0.451	0.452	0.55	0.54
YLR269C	YLR269C	questionable ORF	0.214	0.623	0.325	0.053	0.181	0.02	0.088	0.203	0.118	0.126	0.218	0.24	0.112	0.046
YLR270W	YLR270W	strong similarity to YOR173w	0.766	0.744	0.857	0.587	0.588	0.377	0.473	0.738	0.737	0.658	0.451	0.452	0.55	0.54
YLR271W	YLR271W	weak similarity to hypothetical protein T04H1.5 C. elegans	0.214	0.623	0.325	0.053	0.181	0.02	0.088	0.203	0.118	0.126	0.218	0.24	0.112	0.046
YLR272C	YCS4	subunit of condensin protein complex	0.804	0.856	0.706	0.588	0.715	0.697	0.544	0.448	0.679	0.478	0.714	0.823	0.63	0.648
YLR273C	PIG1	putative type 1 phosphatase regulatory subunit	0.236	0.587	0.38	0.421	0.517	0.247	0.174	0.524	0.155	0.234	0.467	0.437	0.357	0.391
YLR274W	CDC46	cell division control protein	0.236	0.587	0.38	0.421	0.517	0.247	0.174	0.524	0.155	0.234	0.467	0.437	0.357	0.391
YLR275W	SMD2	U1 snRNP protein of the Sm class	0.389	0.792	0.609	0.375	0.19	0.268	0.059	0.041	0.17	0.396	0.46	0.564	0.432	0.143
YLR276C	DBP9	"similarity to YDL031w, MAK5P and RNA helicases"	0.008	0.081	0.018	0.023	0.239	0.086	0.01	0.09	0.011	0.014	0.014	0.012	0.017	0.002
YLR277C	YSH1	component of pre-mRNA polyadenylation factor PF I	0.033	0.014	0.004	0.125	0.212	0.046	0	0.01	0	0	0.206	0.093	0.135	0.053
YLR278C	YLR278C	weak similarity to regulatory proteins	0.868	0.611	0.504	0.414	0.403	0.687	0.834	0.479	0.534	0.761	0.407	0.815	0.676	0.706
